1289,508
1126,292
1083,314
1220,513
1332,515
1258,531
1256,540
1356,517
1393,343
1332,454
688,103
349,33
229,4
178,0
758,527
1181,876
1214,790
1256,845
1275,977
1324,964
1295,983
1312,950
1266,952
1303,975
1398,509
1798,106
1796,46
1089,347
1086,500
1303,196
979,154
275,143
586,35
590,9
331,1
165,0
428,222
894,520
844,503
843,503
675,459
340,283
60,39
174,177
24,0
0,0
1,0
46,0
115,0
189,0
225,0
279,0
358,0
400,0
0,0
22,0
172,0
1,0
0,11
0,41
0,103
0,161
0,267
8,294
486,138
626,0
785,250
1123,510
1119,521
